TS[3]_GOWAWA[0.0;1;NONE;0.0;0.0;2;W-OWA;0.5;0.6]_N_gcp1,AC[2]_GOWAWA[0.2;2;S-OWA;0.6;0.0;2;S-OWA;0.8;0.1]_B_pie,AC[4]_GOWAWA[0.0;1;NONE;0.0;0.0;0;S-OWA;0.0;1.0]_T_pie,TS[3]_Q1_T_eps,GOWAWA[0.8;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_F_mw,Class
0.0,0.0,35.7006,-895.24,0.0,APP
0.0,0.0,58.2452,-929.18,77.41903540622911,APP
0.0,8.621976033640076,38.6856,-852.48,69.95863969745069,APP
0.0,0.0,58.5374,-893.94,0.0,APP
0.0,0.0,55.3232,-912.025,63.510609699158,APP
0.0,6.860983774349784,19.3844,-895.99,68.38989881677607,APP
0.0,0.0,35.9996,-895.24,0.0,APP
0.0,9.743209394701312,57.1738,-968.88,0.0,APP
0.0,9.26705088287227,38.6856,-893.94,69.95863969745069,APP
0.0,0.0,94.8676,-895.24,62.7183571683129,APP
0.0,0.0,58.5374,-894.2650000000001,62.7183571683129,APP
0.0,0.0,55.3232,-912.025,63.510609699158,APP
0.0,8.297309896294287,18.2896,-894.915,70.49869590395174,APP
9.915392296577226,8.182273505992612,33.1655,-917.03,77.30564809058808,APP
0.0,7.790985677946852,32.1676,-918.58,74.6984089243035,APP
0.0,0.0,41.99040000000001,-928.02,86.67744963943272,APP
0.0,6.289150676671677,38.6856,-899.175,75.1173866491251,APP
5.5930355252602375,7.281022860636848,32.092,-917.03,70.82458154967426,APP
0.0,13.299674713831417,53.37520000000001,-914.05,74.69037236807019,APP
8.929460370033567,0.0,33.2242,-926.3475,76.87530112212468,APP
8.295812258332838,6.509227495583405,35.9394,-949.675,86.72394235390598,APP
0.0,7.054215358214163,55.3232,-943.79,76.8418896453612,APP
0.0,6.837964662128153,38.6856,-905.2125,75.1173866491251,APP
0.0,7.681825110552277,27.428700000000003,-909.06,73.74954953878685,APP
0.0,8.004389249482761,32.2977,-905.44,74.22210105391657,APP
0.0,0.0,18.2896,-883.16,68.43375301405594,APP
0.0,0.0,33.9096,-883.5699999999999,68.85104063191349,APP
0.0,8.921034083485393,33.9096,-889.405,63.54058917163585,APP
0.0,8.097422333555086,32.2977,-914.7975,76.82874274313976,APP
0.0,7.890984004288278,19.2556,-899.6850000000001,73.55917136895731,APP
0.0,0.0,35.8797,-883.25,67.01619171360171,APP
0.0,8.049622388759513,32.2977,-905.44,75.65705499150197,APP
0.0,8.627290267781317,58.2116,-914.05,79.27556376265954,APP
13.116830791010456,0.0,35.9996,-928.2175,77.84137547603845,APP
0.0,9.21142010195936,34.136799999999994,-952.72,81.09745116634619,nonAPP
0.0,6.944112677983562,29.8052,-934.9,71.5264090269328,nonAPP
10.70984765305672,0.0,32.6032,-928.02,75.08562219663241,nonAPP
12.628163959974549,6.918287674696803,34.4974,-936.67,80.10156540565588,nonAPP
0.0,7.385787689304071,17.4202,-931.09,83.05767670161785,nonAPP
0.0,0.0,45.3123,-955.75,41.081990803710745,nonAPP
13.99475160563927,0.0,32.092,-937.195,86.47542225502613,nonAPP
18.55,0.0,19.3844,-1011.23,94.4184979313165,nonAPP
18.55,0.0,28.6455,-953.86,75.2675544979555,nonAPP
13.116830791010456,0.0,34.6472,-965.35,86.80610962316734,nonAPP
0.0,8.540014171645012,30.620600000000003,-923.575,86.09811891994539,nonAPP
